type,list,answer
musical instruments,"['guava', 'didgeridoo', 'marimba', 'xylophone', 'tambourine']",4
utensils,"['rolling pin', 'banana', 'jeep', 'spatula', 'jaguar', 'hyena', 'colander']",3
animals,"['didgeridoo', 'jaguar', 'apple', 'melon']",1
utensils,"['zester', 'xylophone', 'dolphin', 'tambourine']",1
animals,"['peeler', 'leopard', 'walrus', 'kangaroo', 'czech']",3
languages,"['walrus', 'thai', 'vietnamese', 'finnish', 'arabic', 'didgeridoo']",4
musical instruments,"['accordion', 'korean', 'persimmon', 'sloth']",1
vehicles,"['bicycle', 'bulldozer', 'trombone', 'van']",3
fruits,"['apricot', 'bassoon', 'fig', 'melon']",3
musical instruments,"['sloth', 'sitar', 'hebrew', 'otter', 'piccolo', 'date']",2
languages,"['greek', 'turkish', 'hebrew', 'arabic']",4
musical instruments,"['spaceship', 'lute', 'oboe', 'sitar', 'swahili']",3
animals,"['penguin', 'persimmon', 'korean', 'rolling pin', 'trombone']",1
fruits,"['persian', 'guava', 'sloth', 'pomegranate', 'banana', 'sedan', 'cherry', 'arabic']",4
animals,"['trolley', 'hungarian', 'melon', 'rice paddle']",0
languages,"['hindi', 'czech', 'hebrew', 'panther', 'swahili']",4
fruits,"['apple', 'paring knife', 'minivan', 'slotted spoon']",1
musical instruments,"['sitar', 'ladle', 'didgeridoo', 'violin']",3
animals,"['plum', 'kangaroo', 'buffalo', 'minivan', 'bengali', 'tram']",2
languages,"['lychee', 'chameleon', 'otter', 'hebrew', 'marimba']",1
animals,"['date', 'alpaca', 'tagalog', 'bus', 'penguin']",2
musical instruments,"['koala', 'lute', 'mandolin', 'xylophone']",3
animals,"['tagalog', 'oboe', 'spaceship', 'skimmer']",0
vehicles,"['finnish', 'panther', 'subway', 'tagalog']",1
languages,"['jeep', 'bus', 'didgeridoo', 'bicycle', 'hindi', 'maori', 'thai', 'bengali']",4
vehicles,"['swahili', 'minivan', 'scooter', 'mandarin', 'bulldozer']",3
vehicles,"['strainer', 'grape', 'punjabi', 'jaguar', 'sedan']",1
fruits,"['mango', 'xylophone', 'pear', 'cherry', 'tambourine', 'jaguar', 'melon', 'rice paddle']",4
utensils,"['harp', 'thai', 'apricot', 'greek']",0
languages,"['finnish', 'trumpet', 'date', 'tagalog', 'violin', 'bengali', 'turkish']",4
animals,"['tuba', 'raccoon', 'mandarin', 'trolley', 'chameleon', 'peeler']",2
vehicles,"['van', 'peeler', 'ferry', 'mandolin', 'pear']",2
animals,"['otter', 'motorcycle', 'skimmer', 'papaya', 'hyena', 'bicycle']",2
fruits,"['penguin', 'peach', 'fig', 'colander', 'oboe', 'apricot', 'mango']",4
animals,"['badger', 'giraffe', 'lion', 'orange', 'czech', 'strainer']",3
vehicles,"['minivan', 'ferry', 'jeep', 'truck', 'rice paddle', 'lychee']",4
utensils,"['mandoline', 'ambulance', 'bassoon', 'jaguar']",1
vehicles,"['hindi', 'sedan', 'buffalo', 'zester', 'lion']",1
utensils,"['pomegranate', 'yoruba', 'subway', 'meat tenderizer', 'korean']",1
languages,"['czech', 'buffalo', 'truck', 'maori', 'violin', 'plum', 'korean']",3
languages,"['greek', 'finnish', 'swahili', 'thai', 'alpaca', 'raccoon']",4
vehicles,"['trolley', 'xylophone', 'grater', 'guava']",1
languages,"['mandoline', 'pomegranate', 'yoruba', 'motorcycle']",1
fruits,"['persimmon', 'cherry', 'marimba', 'banana', 'minivan']",3
animals,"['ladle', 'pear', 'mandarin', 'slotted spoon']",0
animals,"['panther', 'elephant', 'czech', 'tambourine', 'gondola', 'paring knife']",2
animals,"['gorilla', 'hyena', 'spaceship', 'giraffe', 'penguin', 'motorcycle']",4
languages,"['hebrew', 'peeler', 'norwegian', 'jaguar', 'jeep']",2
animals,"['sloth', 'ladle', 'spaceship', 'zester']",1
utensils,"['tongs', 'lion', 'korean', 'whisk', 'badger']",2
animals,"['plum', 'arabic', 'raccoon', 'sitar', 'subway', 'penguin']",2
fruits,"['pomegranate', 'didgeridoo', 'panther', 'papaya']",2
vehicles,"['truck', 'plum', 'ambulance', 'banjo', 'tagalog']",2
fruits,"['peach', 'mandoline', 'banana', 'giraffe', 'lute', 'ferry']",2
utensils,"['pear', 'apple', 'mandoline', 'dolphin']",1
utensils,"['kangaroo', 'measuring cup', 'scooter', 'tambourine', 'skimmer', 'melon']",2
utensils,"['walrus', 'grater', 'fig', 'dolphin']",1
musical instruments,"['trumpet', 'meat tenderizer', 'marimba', 'date']",2
vehicles,"['gondola', 'tambourine', 'finnish', 'meat tenderizer', 'bus']",2
utensils,"['skimmer', 'dolphin', 'persimmon', 'cello', 'cleaver']",2
vehicles,"['spaceship', 'gondola', 'apple', 'ferry']",3
animals,"['penguin', 'panther', 'convertible', 'leopard', 'trombone']",3
vehicles,"['sedan', 'hindi', 'spaceship', 'minivan']",3
fruits,"['apple', 'chameleon', 'date', 'colander', 'melon', 'banana']",4
musical instruments,"['minivan', 'pomegranate', 'accordion', 'melon', 'didgeridoo']",2
fruits,"['banana', 'cherry', 'melon', 'papaya', 'skimmer', 'slotted spoon', 'gondola']",4
fruits,"['strainer', 'grape', 'persimmon', 'cherry', 'pear']",4
fruits,"['persian', 'subway', 'koala', 'didgeridoo']",0
musical instruments,"['lychee', 'persimmon', 'bus', 'tongs']",0
languages,"['persian', 'clarinet', 'plum', 'mandarin', 'buffalo']",2
musical instruments,"['swahili', 'banana', 'sloth', 'bicycle']",0
languages,"['vietnamese', 'bus', 'bassoon', 'mango', 'norwegian']",2
fruits,"['guava', 'clarinet', 'cello', 'mango']",2
fruits,"['scooter', 'melon', 'jeep', 'elephant', 'maori']",1
languages,"['tuba', 'hungarian', 'walrus', 'alpaca', 'korean', 'bengali', 'mandarin']",4
languages,"['tagalog', 'hindi', 'didgeridoo', 'turkish', 'apple', 'tram']",3
vehicles,"['trombone', 'arabic', 'gondola', 'scooter', 'minivan', 'trolley', 'spatula']",4
vehicles,"['lute', 'jeep', 'rice paddle', 'alpaca', 'peeler']",1
utensils,"['rolling pin', 'rice paddle', 'xylophone', 'melon', 'persimmon', 'masher']",3
animals,"['otter', 'koala', 'penguin', 'raccoon']",4
musical instruments,"['pomegranate', 'ladle', 'mandoline', 'motorcycle', 'bassoon']",1
languages,"['strainer', 'koala', 'rice paddle', 'skimmer']",0
fruits,"['plum', 'gorilla', 'ladle', 'cello']",1
musical instruments,"['marimba', 'jeep', 'norwegian', 'clarinet', 'cello', 'baster', 'harp']",4
animals,"['persian', 'thai', 'otter', 'giraffe', 'apple', 'lychee']",2
fruits,"['buffalo', 'vietnamese', 'melon', 'truck', 'grape']",2
animals,"['cherry', 'lion', 'leopard', 'thai', 'bengali', 'jeep']",2
musical instruments,"['bus', 'oboe', 'arabic', 'guava', 'penguin', 'sitar']",2
musical instruments,"['trumpet', 'harp', 'zester', 'colander']",2
fruits,"['jaguar', 'meat tenderizer', 'arabic', 'finnish']",0
utensils,"['tambourine', 'cleaver', 'tuba', 'whisk', 'melon', 'apricot', 'grater']",3
vehicles,"['orange', 'guava', 'raccoon', 'czech']",0
vehicles,"['orange', 'skimmer', 'kangaroo', 'trombone']",0
vehicles,"['persimmon', 'lion', 'ambulance', 'jeep', 'minivan', 'subway', 'papaya', 'chameleon']",4
fruits,"['orange', 'persimmon', 'date', 'grape']",4
vehicles,"['bicycle', 'cherry', 'lion', 'banana']",1
utensils,"['skimmer', 'paring knife', 'persian', 'elephant']",2
musical instruments,"['clarinet', 'yoruba', 'bengali', 'didgeridoo']",2
animals,"['elephant', 'grape', 'truck', 'kangaroo', 'piccolo', 'buffalo', 'apple']",3
musical instruments,"['walrus', 'tongs', 'rolling pin', 'lychee']",0
utensils,"['mandoline', 'dolphin', 'rolling pin', 'colander', 'grater']",4
languages,"['otter', 'maori', 'harp', 'yoruba', 'turkish', 'peach', 'subway', 'vietnamese']",4
animals,"['tuba', 'strainer', 'elephant', 'cherry']",1
languages,"['czech', 'hungarian', 'norwegian', 'hebrew']",4
animals,"['walrus', 'lion', 'raccoon', 'kangaroo']",4
fruits,"['bus', 'kangaroo', 'xylophone', 'arabic']",0
vehicles,"['apricot', 'turkish', 'scooter', 'pear']",1
utensils,"['trolley', 'walrus', 'mandoline', 'paring knife', 'spaceship', 'tongs', 'cherry']",3
utensils,"['tambourine', 'korean', 'harp', 'sitar']",0
fruits,"['masher', 'dolphin', 'bagpipe', 'cello']",0
vehicles,"['cherry', 'bagpipe', 'bassoon', 'baster']",0
utensils,"['sloth', 'banjo', 'giraffe', 'bagpipe']",0
vehicles,"['bicycle', 'maori', 'hungarian', 'subway', 'bus']",3
fruits,"['strainer', 'kiwi', 'persimmon', 'apricot', 'cherry', 'badger']",4
languages,"['swahili', 'punjabi', 'bengali', 'hungarian']",4
languages,"['scooter', 'maori', 'sedan', 'date', 'jaguar']",1
musical instruments,"['bassoon', 'slotted spoon', 'cherry', 'yoruba', 'xylophone', 'dolphin']",2
animals,"['grater', 'vietnamese', 'otter', 'lion', 'accordion']",2
musical instruments,"['apricot', 'trombone', 'bengali', 'scooter']",1
fruits,"['mandolin', 'penguin', 'apricot', 'trolley']",1
animals,"['yoruba', 'czech', 'papaya', 'dolphin']",1
utensils,"['motorcycle', 'spaceship', 'gondola', 'bicycle']",0
languages,"['yoruba', 'koala', 'mandarin', 'persian']",3
fruits,"['apricot', 'apple', 'guava', 'bengali', 'penguin', 'bassoon', 'marimba', 'persimmon']",4
fruits,"['oboe', 'zester', 'melon', 'apricot', 'papaya']",3
languages,"['bicycle', 'mango', 'korean', 'punjabi', 'maori']",3
musical instruments,"['xylophone', 'didgeridoo', 'apricot', 'bagpipe', 'mandolin']",4
utensils,"['buffalo', 'paring knife', 'rice paddle', 'tongs', 'skimmer']",4
fruits,"['finnish', 'leopard', 'hyena', 'penguin', 'pomegranate', 'papaya']",2
vehicles,"['minivan', 'jeep', 'sloth', 'meat tenderizer']",2
fruits,"['masher', 'badger', 'maori', 'cello']",0
languages,"['spaceship', 'bengali', 'swahili', 'melon', 'tram', 'thai', 'tagalog', 'minivan']",4
languages,"['jeep', 'banana', 'minivan', 'orange', 'arabic', 'turkish', 'bengali']",3
animals,"['colander', 'turkish', 'vietnamese', 'raccoon', 'jaguar']",2
musical instruments,"['tambourine', 'masher', 'accordion', 'clarinet']",3
languages,"['bulldozer', 'czech', 'cello', 'pomegranate', 'papaya']",1
musical instruments,"['korean', 'mandolin', 'tuba', 'date']",2
languages,"['korean', 'spaceship', 'hungarian', 'tambourine']",2
musical instruments,"['harp', 'cleaver', 'sitar', 'banjo']",3
vehicles,"['grater', 'buffalo', 'subway', 'bicycle']",2
animals,"['convertible', 'badger', 'raccoon', 'hyena', 'bulldozer', 'otter']",4
languages,"['persimmon', 'sedan', 'arabic', 'orange', 'turkish']",2
vehicles,"['lychee', 'sedan', 'maori', 'ambulance']",2
fruits,"['lion', 'plum', 'greek', 'finnish', 'masher']",1
utensils,"['peach', 'hyena', 'gorilla', 'sitar']",0
languages,"['truck', 'hindi', 'cherry', 'norwegian', 'trolley', 'yoruba']",3
fruits,"['zester', 'jaguar', 'arabic', 'apple']",1
fruits,"['trombone', 'minivan', 'bulldozer', 'piccolo']",0
animals,"['apricot', 'peach', 'bagpipe', 'measuring cup']",0
musical instruments,"['finnish', 'kangaroo', 'maori', 'bus']",0
fruits,"['melon', 'finnish', 'turkish', 'penguin', 'guava', 'persimmon']",3
fruits,"['apricot', 'papaya', 'spaceship', 'fig']",3
vehicles,"['cleaver', 'sloth', 'orange', 'punjabi']",0
utensils,"['rice paddle', 'zester', 'skimmer', 'colander', 'raccoon', 'alpaca']",4
languages,"['swahili', 'walrus', 'punjabi', 'tram', 'mandolin']",2
musical instruments,"['violin', 'tambourine', 'oboe', 'sitar', 'orange', 'lion']",4
utensils,"['violin', 'harp', 'trombone', 'peeler', 'whisk']",2
utensils,"['lion', 'tuba', 'peeler', 'colander', 'tagalog', 'convertible', 'masher', 'rolling pin']",4
musical instruments,"['harp', 'tram', 'mandarin', 'masher']",1
utensils,"['baster', 'meat tenderizer', 'cherry', 'whisk', 'gondola', 'colander', 'trolley']",4
fruits,"['tagalog', 'bulldozer', 'plum', 'sedan', 'hyena', 'kiwi']",2
fruits,"['apricot', 'guava', 'date', 'lychee']",4
musical instruments,"['pomegranate', 'tram', 'oboe', 'skimmer', 'melon']",1
utensils,"['slotted spoon', 'grater', 'persian', 'tuba', 'grape']",2
languages,"['koala', 'mango', 'tagalog', 'masher', 'arabic']",2
languages,"['greek', 'lute', 'spaceship', 'badger']",1
languages,"['thai', 'vietnamese', 'arabic', 'piccolo']",3
fruits,"['pear', 'motorcycle', 'tuba', 'apple', 'trombone', 'plum', 'apricot']",4
animals,"['vietnamese', 'van', 'leopard', 'bagpipe', 'hindi']",1
vehicles,"['tram', 'van', 'giraffe', 'subway', 'swahili', 'convertible']",4
musical instruments,"['penguin', 'piccolo', 'trombone', 'xylophone', 'marimba', 'spatula']",4
utensils,"['spatula', 'bassoon', 'zester', 'bicycle', 'clarinet', 'lion']",2
animals,"['bengali', 'gondola', 'vietnamese', 'paring knife']",0
fruits,"['bus', 'mango', 'fig', 'plum', 'date']",4
fruits,"['arabic', 'pear', 'kangaroo', 'buffalo', 'sedan']",1
languages,"['hebrew', 'zester', 'hungarian', 'cello']",2
vehicles,"['maori', 'violin', 'raccoon', 'buffalo']",0
musical instruments,"['grater', 'tuba', 'ferry', 'piccolo', 'gorilla']",2
fruits,"['mango', 'orange', 'vietnamese', 'harp']",2
fruits,"['tambourine', 'oboe', 'spaceship', 'bicycle']",0
languages,"['ferry', 'persimmon', 'banana', 'papaya', 'bengali']",1
languages,"['guava', 'tambourine', 'raccoon', 'whisk']",0
musical instruments,"['cherry', 'swahili', 'hebrew', 'grater']",0
languages,"['baster', 'tongs', 'sloth', 'panther', 'greek', 'swahili', 'turkish']",3
fruits,"['thai', 'tram', 'grape', 'kiwi']",2
musical instruments,"['giraffe', 'turkish', 'yoruba', 'mango', 'sitar']",1
languages,"['tuba', 'otter', 'kiwi', 'scooter']",0
languages,"['swahili', 'penguin', 'grape', 'czech', 'kangaroo']",2
languages,"['punjabi', 'hebrew', 'yoruba', 'czech', 'rambutan', 'ferry', 'raccoon']",4
vehicles,"['bassoon', 'persimmon', 'clarinet', 'baster', 'sedan']",1
fruits,"['zester', 'lychee', 'didgeridoo', 'tongs']",1
vehicles,"['zester', 'plum', 'sloth', 'piccolo']",0
fruits,"['papaya', 'punjabi', 'banana', 'mandoline', 'truck', 'penguin', 'grape']",3
animals,"['sloth', 'trombone', 'elephant', 'didgeridoo', 'chameleon']",3
musical instruments,"['buffalo', 'tambourine', 'sitar', 'czech']",2
utensils,"['harp', 'cleaver', 'spatula', 'tongs', 'panther']",3
musical instruments,"['buffalo', 'ladle', 'apple', 'papaya']",0
languages,"['turkish', 'banana', 'jaguar', 'thai', 'arabic', 'korean']",4
animals,"['buffalo', 'dolphin', 'oboe', 'elephant', 'kiwi']",3
fruits,"['sedan', 'spatula', 'rambutan', 'sloth', 'didgeridoo']",1
utensils,"['bagpipe', 'pear', 'grater', 'mandolin']",1
fruits,"['hindi', 'fig', 'apple', 'mandolin', 'lychee', 'jaguar']",3
musical instruments,"['grape', 'melon', 'bengali', 'persian']",0
animals,"['trumpet', 'bicycle', 'skimmer', 'vietnamese']",0
animals,"['lion', 'koala', 'elephant', 'baster', 'measuring cup']",3
musical instruments,"['chameleon', 'papaya', 'tram', 'bus']",0
animals,"['kangaroo', 'penguin', 'tram', 'lion']",3
fruits,"['tambourine', 'walrus', 'punjabi', 'raccoon']",0
musical instruments,"['lute', 'fig', 'apple', 'mandolin', 'xylophone', 'raccoon', 'bassoon']",4
vehicles,"['cello', 'subway', 'maori', 'trolley', 'apple', 'mandarin', 'ferry']",3
musical instruments,"['arabic', 'sitar', 'oboe', 'trombone']",3
utensils,"['slotted spoon', 'minivan', 'elephant', 'gorilla', 'banjo']",1
utensils,"['grater', 'strainer', 'mandoline', 'kiwi']",3
animals,"['sloth', 'leopard', 'kangaroo', 'badger']",4
fruits,"['bicycle', 'tuba', 'pomegranate', 'persimmon']",2
musical instruments,"['convertible', 'giraffe', 'skimmer', 'pomegranate']",0
fruits,"['papaya', 'grater', 'trumpet', 'persimmon', 'mango', 'apricot']",4
languages,"['oboe', 'accordion', 'pomegranate', 'guava', 'korean']",1
languages,"['chameleon', 'alpaca', 'ferry', 'apple']",0
utensils,"['banjo', 'paring knife', 'strainer', 'hyena']",2
animals,"['walrus', 'giraffe', 'apple', 'cherry', 'gorilla', 'raccoon']",4
languages,"['date', 'marimba', 'alpaca', 'masher']",0
musical instruments,"['cherry', 'xylophone', 'rambutan', 'harp']",2
languages,"['punjabi', 'yoruba', 'greek', 'thai', 'spaceship']",4
fruits,"['cleaver', 'mandarin', 'trumpet', 'apple']",1
fruits,"['tram', 'persimmon', 'guava', 'orange', 'chameleon', 'trumpet']",3
vehicles,"['ferry', 'subway', 'bus', 'jeep']",4
fruits,"['fig', 'lychee', 'gondola', 'apple']",3
animals,"['chameleon', 'giraffe', 'hyena', 'cherry', 'motorcycle', 'jaguar']",4
utensils,"['colander', 'measuring cup', 'skimmer', 'peeler']",4
vehicles,"['minivan', 'ferry', 'spaceship', 'punjabi', 'bulldozer', 'tongs']",4
fruits,"['whisk', 'marimba', 'swahili', 'banana', 'fig', 'bulldozer']",2
languages,"['mango', 'masher', 'trolley', 'guava']",0
vehicles,"['sloth', 'bulldozer', 'zester', 'jeep', 'mandolin', 'van']",3
utensils,"['ladle', 'masher', 'slotted spoon', 'colander']",4
animals,"['bulldozer', 'bassoon', 'cherry', 'bicycle']",0
vehicles,"['mandoline', 'trolley', 'giraffe', 'sitar', 'bus']",2
musical instruments,"['clarinet', 'harp', 'piccolo', 'paring knife']",3
utensils,"['tuba', 'cherry', 'bus', 'rambutan']",0
vehicles,"['motorcycle', 'thai', 'bassoon', 'kangaroo', 'strainer']",1
utensils,"['harp', 'whisk', 'grape', 'tongs', 'ladle']",3
utensils,"['mandolin', 'whisk', 'ladle', 'subway', 'pomegranate', 'spatula', 'colander']",4
fruits,"['grape', 'tuba', 'trolley', 'sedan']",1
languages,"['alpaca', 'sedan', 'clarinet', 'peach', 'turkish', 'greek']",2
utensils,"['mandoline', 'ladle', 'banana', 'trombone', 'rolling pin', 'ambulance', 'whisk']",4
vehicles,"['accordion', 'slotted spoon', 'skimmer', 'harp']",0
animals,"['arabic', 'raccoon', 'cello', 'mandoline', 'chameleon', 'badger', 'meat tenderizer']",3
musical instruments,"['whisk', 'kangaroo', 'hyena', 'clarinet']",1
utensils,"['ladle', 'spatula', 'slotted spoon', 'strainer']",4
musical instruments,"['piccolo', 'buffalo', 'marimba', 'zester', 'trombone']",3
utensils,"['cello', 'zester', 'koala', 'apple']",1
fruits,"['tambourine', 'subway', 'panther', 'swahili']",0
languages,"['bengali', 'peach', 'maori', 'tuba']",2
utensils,"['greek', 'slotted spoon', 'date', 'zester']",2
animals,"['scooter', 'minivan', 'banjo', 'korean']",0
fruits,"['persimmon', 'walrus', 'lychee', 'persian', 'bicycle', 'measuring cup']",2
fruits,"['hindi', 'raccoon', 'lute', 'sitar']",0
fruits,"['trombone', 'grater', 'korean', 'banjo', 'kiwi']",1
musical instruments,"['cello', 'tuba', 'harp', 'rice paddle', 'ambulance', 'banjo']",4
musical instruments,"['sitar', 'harp', 'mandolin', 'lute', 'dolphin', 'mandoline', 'walrus']",4
vehicles,"['orange', 'tongs', 'mandarin', 'penguin']",0
fruits,"['cleaver', 'xylophone', 'tagalog', 'thai']",0
animals,"['turkish', 'fig', 'rambutan', 'marimba']",0
musical instruments,"['lute', 'turkish', 'hungarian', 'trumpet']",2
vehicles,"['bulldozer', 'hindi', 'motorcycle', 'punjabi', 'ambulance', 'thai', 'spatula']",3
vehicles,"['masher', 'alpaca', 'tuba', 'pomegranate']",0
animals,"['cello', 'mandoline', 'giraffe', 'convertible', 'baster']",1
animals,"['panther', 'greek', 'leopard', 'skimmer', 'tambourine']",2
utensils,"['grater', 'alpaca', 'jeep', 'thai']",1
vehicles,"['jeep', 'bus', 'violin', 'swahili', 'spaceship', 'colander', 'fig', 'ferry']",4
animals,"['apricot', 'panther', 'maori', 'bengali', 'korean', 'badger']",2
utensils,"['slotted spoon', 'masher', 'mandoline', 'cherry']",3
vehicles,"['bagpipe', 'hyena', 'scooter', 'van']",2
vehicles,"['jaguar', 'cello', 'xylophone', 'bulldozer']",1
languages,"['bassoon', 'czech', 'maori', 'marimba', 'hyena', 'banjo']",2
animals,"['marimba', 'trolley', 'grater', 'didgeridoo']",0
vehicles,"['badger', 'scooter', 'giraffe', 'mandarin', 'pomegranate', 'van', 'truck']",3
animals,"['raccoon', 'dolphin', 'alpaca', 'punjabi', 'pear']",3
utensils,"['alpaca', 'tuba', 'hindi', 'persimmon', 'colander']",1
vehicles,"['ladle', 'jeep', 'subway', 'cherry', 'tongs']",2
musical instruments,"['tuba', 'tambourine', 'trumpet', 'oboe', 'peach']",4
fruits,"['oboe', 'gorilla', 'vietnamese', 'measuring cup']",0
vehicles,"['bus', 'trolley', 'jeep', 'gondola', 'penguin']",4
animals,"['walrus', 'chameleon', 'elephant', 'jaguar']",4
vehicles,"['koala', 'ambulance', 'van', 'otter', 'gondola']",3
fruits,"['bassoon', 'grater', 'hyena', 'penguin']",0
languages,"['van', 'bassoon', 'minivan', 'trumpet']",0
languages,"['trumpet', 'xylophone', 'dolphin', 'hungarian', 'persian', 'badger']",2
languages,"['bassoon', 'maori', 'grater', 'tagalog', 'subway']",2
languages,"['bagpipe', 'korean', 'hebrew', 'bulldozer', 'oboe']",2
languages,"['vietnamese', 'koala', 'peeler', 'czech', 'skimmer', 'turkish', 'whisk', 'maori']",4
vehicles,"['persian', 'scooter', 'bassoon', 'meat tenderizer']",1
utensils,"['jeep', 'harp', 'greek', 'piccolo', 'colander']",1
vehicles,"['rolling pin', 'ladle', 'mandarin', 'trombone']",0
utensils,"['persian', 'tuba', 'colander', 'mandoline', 'bagpipe']",2
utensils,"['bus', 'norwegian', 'trombone', 'date']",0
animals,"['banana', 'otter', 'alpaca', 'plum', 'colander', 'panther', 'date']",3
vehicles,"['bus', 'gondola', 'van', 'didgeridoo', 'peeler']",3
musical instruments,"['bassoon', 'guava', 'xylophone', 'norwegian', 'violin']",3
fruits,"['jaguar', 'plum', 'turkish', 'fig', 'rolling pin', 'date', 'melon']",4
vehicles,"['ambulance', 'korean', 'xylophone', 'bus', 'ferry', 'turkish', 'kangaroo', 'sedan']",4
animals,"['sitar', 'papaya', 'hyena', 'walrus']",2
utensils,"['sedan', 'oboe', 'apricot', 'gondola']",0
vehicles,"['peeler', 'tongs', 'subway', 'spaceship']",2
vehicles,"['hebrew', 'giraffe', 'swahili', 'bus', 'spaceship', 'bulldozer']",3
musical instruments,"['bulldozer', 'masher', 'persian', 'hungarian', 'harp', 'sitar', 'trombone', 'marimba']",4
fruits,"['ladle', 'pear', 'grater', 'measuring cup']",1
utensils,"['jeep', 'masher', 'otter', 'tuba']",1
languages,"['zester', 'grater', 'xylophone', 'peach']",0
musical instruments,"['oboe', 'bagpipe', 'accordion', 'harp', 'giraffe']",4
musical instruments,"['hungarian', 'skimmer', 'orange', 'mandoline']",0
fruits,"['sitar', 'kiwi', 'guava', 'grater', 'tuba', 'bagpipe', 'apricot']",3
utensils,"['violin', 'lychee', 'rolling pin', 'slotted spoon']",2
fruits,"['koala', 'xylophone', 'otter', 'clarinet']",0
utensils,"['ladle', 'measuring cup', 'peeler', 'orange']",3
animals,"['trolley', 'peeler', 'meat tenderizer', 'hyena', 'penguin', 'panther', 'mandoline']",3
languages,"['mandarin', 'slotted spoon', 'hebrew', 'gorilla', 'grape', 'otter']",2
musical instruments,"['didgeridoo', 'trumpet', 'yoruba', 'piccolo', 'alpaca']",3
utensils,"['strainer', 'gorilla', 'peeler', 'zester']",3
utensils,"['maori', 'apricot', 'lion', 'tambourine']",0
utensils,"['greek', 'sloth', 'penguin', 'banjo']",0
languages,"['hebrew', 'trolley', 'jeep', 'bengali', 'hungarian', 'rolling pin', 'harp']",3
vehicles,"['lute', 'measuring cup', 'panther', 'raccoon']",0
vehicles,"['spaceship', 'korean', 'fig', 'bulldozer', 'tram', 'greek', 'gondola', 'bagpipe']",4
fruits,"['minivan', 'plum', 'orange', 'papaya']",3
utensils,"['bulldozer', 'cleaver', 'peeler', 'slotted spoon', 'baster']",4
utensils,"['spatula', 'cherry', 'mango', 'chameleon', 'apple', 'slotted spoon']",2
languages,"['leopard', 'hindi', 'cello', 'koala', 'hungarian', 'sedan', 'czech', 'yoruba']",4
vehicles,"['scooter', 'spaceship', 'van', 'truck', 'turkish']",4
languages,"['guava', 'persimmon', 'ferry', 'yoruba', 'hindi', 'vietnamese', 'orange']",3
fruits,"['peeler', 'tongs', 'banana', 'minivan']",1
animals,"['bicycle', 'didgeridoo', 'cherry', 'xylophone']",0
fruits,"['papaya', 'vietnamese', 'skimmer', 'lychee']",2
utensils,"['meat tenderizer', 'rice paddle', 'strainer', 'peeler']",4
vehicles,"['gondola', 'rolling pin', 'motorcycle', 'bus']",3
musical instruments,"['harp', 'kangaroo', 'melon', 'swahili', 'sedan']",1
vehicles,"['mandolin', 'melon', 'rambutan', 'norwegian']",0
languages,"['spaceship', 'apple', 'dolphin', 'panther']",0
vehicles,"['sedan', 'trolley', 'truck', 'spaceship', 'papaya']",4
animals,"['buffalo', 'rolling pin', 'bus', 'giraffe', 'peach']",2
vehicles,"['vietnamese', 'cleaver', 'maori', 'leopard']",0
fruits,"['lychee', 'alpaca', 'peach', 'leopard', 'banana', 'kangaroo']",3
languages,"['clarinet', 'rolling pin', 'badger', 'minivan']",0
languages,"['spatula', 'turkish', 'spaceship', 'hebrew']",2
fruits,"['giraffe', 'bagpipe', 'turkish', 'banana']",1
fruits,"['papaya', 'mandolin', 'persimmon', 'guava']",3
animals,"['alpaca', 'fig', 'xylophone', 'greek']",1
animals,"['oboe', 'banjo', 'alpaca', 'mandolin', 'vietnamese']",1
languages,"['korean', 'whisk', 'sloth', 'mandarin', 'colander', 'turkish', 'arabic', 'lychee']",4
fruits,"['oboe', 'maori', 'arabic', 'hyena']",0
animals,"['truck', 'tuba', 'buffalo', 'arabic', 'bus']",1
musical instruments,"['czech', 'violin', 'bicycle', 'subway', 'tuba']",2
utensils,"['giraffe', 'korean', 'otter', 'pear']",0
animals,"['piccolo', 'orange', 'rice paddle', 'tuba']",0
vehicles,"['truck', 'xylophone', 'spaceship', 'elephant']",2
musical instruments,"['elephant', 'accordion', 'walrus', 'buffalo']",1
vehicles,"['koala', 'oboe', 'ferry', 'tram', 'harp', 'lychee']",2
musical instruments,"['mandoline', 'cello', 'hebrew', 'korean']",1
utensils,"['otter', 'turkish', 'scooter', 'rice paddle', 'skimmer', 'violin']",2
fruits,"['ambulance', 'paring knife', 'bengali', 'grape']",1
animals,"['violin', 'grape', 'panther', 'pear']",1
utensils,"['paring knife', 'rolling pin', 'leopard', 'yoruba', 'baster']",3
utensils,"['accordion', 'alpaca', 'banana', 'sitar']",0
animals,"['cello', 'koala', 'apricot', 'jaguar', 'peach']",2
utensils,"['strainer', 'slotted spoon', 'colander', 'korean', 'bagpipe']",3
languages,"['van', 'papaya', 'tongs', 'hindi', 'maori']",2
animals,"['buffalo', 'leopard', 'elephant', 'kangaroo', 'plum', 'rolling pin']",4
vehicles,"['banana', 'chameleon', 'ferry', 'date', 'plum']",1
musical instruments,"['didgeridoo', 'marimba', 'rice paddle', 'ladle', 'cello']",3
utensils,"['maori', 'masher', 'mandoline', 'oboe', 'skimmer']",3
vehicles,"['kangaroo', 'baster', 'bus', 'jeep', 'greek', 'lute']",2
utensils,"['didgeridoo', 'colander', 'panther', 'zester']",2
